2018-07-31 11:09:58.1286 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2018-07-31 11:09:58.1348 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2018-07-31 11:09:58.1563 Info Loading Cardigann definition /app/Jackett/Definitions/magnetdl.yml 
2018-07-31 11:09:58.1609 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2018-07-31 11:09:58.1753 Info Loading Cardigann definition /app/Jackett/Definitions/manicomioshare.yml 
2018-07-31 11:09:58.2685 Info Loading Cardigann definition /app/Jackett/Definitions/megabliz.yml 
2018-07-31 11:09:58.2806 Info Loading Cardigann definition /app/Jackett/Definitions/metaltracker.yml 
2018-07-31 11:09:58.2833 Info Loading Cardigann definition /app/Jackett/Definitions/mononokebt.yml 
2018-07-31 11:09:58.2904 Info Loading Cardigann definition /app/Jackett/Definitions/mteamtp.yml 
2018-07-31 11:09:58.3126 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupforum.yml 
2018-07-31 11:09:58.3176 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupmain.yml 
2018-07-31 11:09:58.3261 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2018-07-31 11:09:58.3304 Info Loading Cardigann definition /app/Jackett/Definitions/nethd.yml 
2018-07-31 11:09:58.3394 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
2018-07-31 11:09:58.3478 Info Loading Cardigann definition /app/Jackett/Definitions/newstudio.yml 
2018-07-31 11:09:58.3532 Info Loading Cardigann definition /app/Jackett/Definitions/nexttorrent.yml 
2018-07-31 11:09:58.3582 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2018-07-31 11:09:58.4907 Info Loading Cardigann definition /app/Jackett/Definitions/nyaa-pantsu.yml 
2018-07-31 11:09:58.4961 Info Loading Cardigann definition /app/Jackett/Definitions/nyaasi.yml 
2018-07-31 11:09:58.5084 Info Loading Cardigann definition /app/Jackett/Definitions/nyoo.yml 
